Position,Player,Team,Depth Chart,Active 1/Out 0,Rookie 1/ NR 0
QB,Joshua Dobbs (N),ARI,1,1,0
QB,Clayton Tune (R),ARI,2,1,1
QB,Kyler Murray (IR),ARI,,0,0
RB,Keaontay Ingram,ARI,1,1,0
RB,Damien Williams (N),ARI,2,1,0
RB,Emari Demercado,ARI,3,1,0
RB,James Conner (IR-R),ARI,,0,0
WR,Marquise Brown,ARI,1,1,0
WR,Rondale Moore,ARI,2,1,0
WR,Michael Wilson (R),ARI,3,1,1
WR,Zach Pascal (N),ARI,4,1,0
WR,Greg Dortch,ARI,5,1,0
WR,Andre Baccellia,ARI,6,1,0
TE,Zach Ertz,ARI,1,1,0
TE,Trey McBride,ARI,2,1,0
TE,Geoff Swaim,ARI,3,1,0
K,Matt Prater,ARI,1,1,0
,,,,,
QB,Desmond Ridder,ATL,1,1,0
QB,Taylor Heinicke (N),ATL,2,1,0
QB,Logan Woodside,ATL,3,1,0
RB,Bijan Robinson (R),ATL,1,1,1
RB,Tyler Allgeier,ATL,2,1,0
RB,Cordarrelle Patterson,ATL,3,1,0
RB,Keith Smith,ATL,4,1,0
WR,Drake London,ATL,1,1,0
WR,Mack Hollins (N),ATL,2,1,0
WR,Van Jefferson (N),ATL,3,1,0
WR,Scotty Miller (N),ATL,4,1,0
WR,KhaDarel Hodge,ATL,5,1,0
WR,Josh Ali,ATL,6,1,0
TE,Kyle Pitts,ATL,1,1,0
TE,Jonnu Smith (N),ATL,2,1,0
TE,MyCole Pruitt,ATL,3,1,0
K,Younghoe Koo,ATL,1,1,0
,,,,,
QB,Lamar Jackson,BAL,1,1,0
QB,Tyler Huntley,BAL,2,1,0
RB,Gus Edwards,BAL,1,1,0
RB,Justice Hill,BAL,2,1,0
RB,Melvin Gordon III,BAL,3,1,0
RB,Keaton Mitchell (R),BAL,4,1,1
RB,J.K. Dobbins (IR),BAL,,0,0
WR,Zay Flowers (R),BAL,1,1,1
WR,Nelson Agholor (N),BAL,2,1,0
WR,Odell Beckham Jr. (N),BAL,3,1,0
WR,Devin Duvernay,BAL,4,1,0
WR,Rashod Bateman,BAL,5,1,0
WR,Tylan Wallace,BAL,6,1,0
TE,Mark Andrews,BAL,1,1,0
TE,Isaiah Likely,BAL,2,1,0
TE,Charlie Kolar,BAL,3,1,0
K,Justin Tucker,BAL,1,1,0
,,,,,
QB,Josh Allen,BUF,1,1,0
QB,Kyle Allen,BUF,2,1,0
RB,James Cook,BUF,1,1,0
RB,Latavius Murray (N),BUF,2,1,0
RB,Damien Harris,BUF,3,1,0
RB,Reggie Gilliam,BUF,4,1,0
RB,Ty Johnson (N),BUF,5,1,0
WR,Stefon Diggs,BUF,1,1,0
WR,Gabriel Davis,BUF,2,1,0
WR,Deonte Harty (N),BUF,3,1,0
WR,Khalil Shakir,BUF,4,1,0
WR,Trent Sherfield (N),BUF,5,1,0
WR,Justin Shorter (R),BUF,6,1,1
TE,Dawson Knox,BUF,1,1,0
TE,Dalton Kincaid (R),BUF,2,1,1
TE,Quintin Morris,BUF,3,1,0
K,Tyler Bass,BUF,1,1,0
,,,,,
QB,Bryce Young (R),CAR,1,1,1
QB,Andy Dalton (N),CAR,2,1,0
RB,Miles Sanders (N),CAR,1,1,0
RB,Chuba Hubbard,CAR,2,1,0
RB,Raheem Blackshear,CAR,3,1,0
WR,Adam Thielen (N),CAR,1,1,0
WR,DJ Chark Jr. (N),CAR,2,1,0
WR,Jonathan Mingo (R),CAR,3,1,1
WR,Laviska Shenault Jr. ,CAR,4,1,0
WR,Terrace Marshall Jr.,CAR,5,1,0
WR,Ihmir Smith Marsette (N),CAR,6,1,0
TE,Hayden Hurst (N),CAR,1,1,0
TE,Tommy Tremble,CAR,2,1,0
TE,Ian Thomas (IR),CAR,,0,0
K,Eddy Pineiro,CAR,1,1,0
,,,,,
QB,Justin Fields,CHI,1,1,0
QB,Tyson Bagent,CHI,2,1,0
RB,Roschon Johnson (R),CHI,1,1,1
RB,D'Onta Foreman (N),CHI,2,1,0
RB,Travis Homer (N),CHI,3,1,0
RB,Darrynton Evans (N),CHI,4,1,0
RB,Khalil Herbert (IR),CHI,,0,0
WR,DJ Moore (N),CHI,1,1,0
WR,Darnell Mooney,CHI,2,1,0
WR,Velus Jones Jr.,CHI,3,1,0
WR,Equanimeous St. Brown,CHI,4,1,0
WR,Tyler Scott (R),CHI,5,1,1
TE,Cole Kmet,CHI,1,1,0
TE,Robert Tonyan (N),CHI,2,1,0
TE,Marcedes Lewis,CHI,3,1,0
K,Cairo Santos,CHI,1,1,0
,,,,,
QB,Joe Burrow,CIN,1,1,0
QB,Jake Browning,CIN,2,1,0
RB,Joe Mixon,CIN,1,1,0
RB,Chase Brown (R),CIN,2,1,1
RB,Trayveon Williams,CIN,3,1,0
RB,Chris Evans,CIN,4,1,0
WR,Ja'Marr Chase,CIN,1,1,0
WR,Tee Higgins,CIN,2,1,0
WR,Tyler Boyd,CIN,3,1,0
WR,Trenton Irwin,CIN,4,1,0
WR,Charlie Jones (R),CIN,5,1,1
WR,Andrei Iosivas (R),CIN,6,1,1
TE,Irv Smith (N),CIN,1,1,0
TE,Drew Sample,CIN,2,1,0
K,Evan McPherson,CIN,1,1,0
,,,,,
QB,Deshaun Watson,CLE,1,1,0
QB,PJ Walker,CLE,2,1,0
QB,Dorien Thomson Robinson (R),CLE,3,1,1
RB,Jerome Ford,CLE,1,1,0
RB,Kareem Hunt,CLE,2,1,0
RB,Pierre Strong (N),CLE,3,1,0
RB,Nick Chubb (IR),CLE,,0,0
WR,Amari Cooper,CLE,1,1,0
WR,Elijah Moore (N),CLE,2,1,0
WR,Donovan Peoples-Jones,CLE,3,1,0
WR,Marquise Goodwin (N),CLE,4,1,0
WR,David Bell,CLE,5,1,0
WR,Cedric Tillman (R),CLE,6,1,1
TE,David Njoku,CLE,1,1,0
TE,Jordan Akins (N),CLE,2,1,0
TE,Harrison Bryant,CLE,3,1,0
K,Dustin Hopkins (N),CLE,1,1,0
,,,,,
QB,Dak Prescott,DAL,1,1,0
QB,Cooper Rush,DAL,2,1,0
QB,Trey Lance,DAL,3,1,0
RB,Tony Pollard,DAL,1,1,0
RB,Rico Dowdle,DAL,2,1,0
RB,Deuce Vaughn (R),DAL,3,1,1
RB,Hunter Leupke (N),DAL,4,1,0
WR,CeeDee Lamb,DAL,1,1,0
WR,Brandin Cooks (N),DAL,2,1,0
WR,Michael Gallup,DAL,3,1,0
WR,Jalen Tolbert,DAL,4,1,0
WR,KaVontae Turpin,DAL,5,1,0
WR,Jalen Brooks (R),DAL,6,1,1
TE,Jake Ferguson,DAL,1,1,0
TE,Luke Schoonmaker (R),DAL,2,1,1
TE,Peyton Hendershot,DAL,3,1,0
TE,Sean McKeon,DAL,4,1,0
K,Brandon Aubrey (N),DAL,1,1,0
,,,,,
QB,Rusell Wilson,DEN,1,1,0
QB,Jarrett Stidham (N),DEN,2,1,0
RB,Javonte Williams,DEN,1,1,0
RB,Jaleel McLaughlin (R),DEN,2,1,1
RB,Samaje Perine (N),DEN,3,1,0
RB,Emmanuel Wilson (R),DEN,4,1,1
WR,Jerry Jeudy,DEN,1,1,0
WR,Courtland Sutton,DEN,2,1,0
WR,Marvin Mims (R),DEN,3,1,0
WR,Brandon Johnson,DEN,4,1,1
WR,Tim Patrick (IR),DEN,,0,0
TE,Greg Dulcich,DEN,1,1,0
TE,Adam Trautman,DEN,2,1,0
TE,Chris Manhertz,DEN,3,1,0
K,Wil Lutz (N),DEN,1,1,0
,,,,,
QB,Jared Goff,DET,1,1,0
QB,Teddy Bridgewater (N),DET,2,1,0
QB,Hendon Hooker (R),DET,3,1,1
RB,David Montgomery (N),DET,1,1,0
RB,Jahmyr Gibbs (R),DET,2,1,1
RB,Craig Reynolds,DET,3,1,0
RB,Jason Cabinda,DET,4,1,0
RB,Zonovan Knight (N) (IR),DET,5,0,1
WR,Amon-Ra St. Brown,DET,1,1,0
WR,Josh Reynolds,DET,2,1,0
WR,Kalif Raymond,DET,3,1,0
WR,Jameson Williams,DET,4,1,0
WR,Antoine Green (R),DET,5,1,1
WR,Marvin Jones (N),DET,6,1,0
TE,Sam LaPorta (R),DET,1,1,1
TE,Brock Wright,DET,2,1,0
TE,James Mitchell,DET,3,1,0
K,Riley Patterson (N),DET,1,1,0
,,,,,
QB,Jordan Love,GB,1,1,0
QB,Sean Clifford (R),GB,2,1,1
RB,Aaron Jones,GB,1,1,0
RB,AJ Dillon,GB,2,1,0
RB,Emanuel Wilson (N),GB,3,1,0
RB,James Robinson (N),GB,4,1,0
WR,Christian Watson,GB,1,1,0
WR,Romeo Doubs,GB,2,1,0
WR,Jayden Reed (R),GB,3,1,1
WR,Dontayvion Wicks (R),GB,4,1,1
WR,Samori Toure,GB,5,1,0
WR,Malik Heath (R),GB,6,1,1
TE,Luke Musgrave (R),GB,1,1,1
TE,Tucker Kraft (R),GB,2,1,1
TE,Josiah Deguara,GB,3,1,0
K,Anders Carlson (R),GB,1,1,1
,,,,,
QB,C.J. Stroud (R),HOU,1,1,1
QB,Davis Mills,HOU,2,1,0
QB,Case Keenum (N),HOU,3,1,0
RB,Dameon Pierce,HOU,1,1,0
RB,Devin Singletary (N),HOU,2,1,0
RB,Dare Ogunbowale,HOU,3,1,0
RB,Mike Boone (N),HOU,4,1,0
WR,Nico Collins,HOU,1,1,0
WR,Tank Dell (R),HOU,2,1,1
WR,Robert Woods (N),HOU,3,1,0
WR,John Metchie,HOU,4,1,0
WR,Noah Brown (N),HOU,5,1,0
WR,Xavier Hutchinson (R),HOU,6,1,1
TE,Dalton Schultz (N),HOU,1,1,0
TE,Andrew Beck,HOU,2,1,0
TE,Brevin Jordan,HOU,3,1,0
K,Ka'imi Fairbairn,HOU,1,1,0
,,,,,
QB,Gardner Minshew (N),IND,1,1,0
QB,Sam Ehlinger,IND,2,1,0
QB,Anthony Richardson (R) (IR),IND,3,0,1
RB,Jonathan Taylor,IND,1,1,0
RB,Zack Moss,IND,2,1,0
RB,Trey Sermon (N),IND,3,1,0
RB,Evan Hull (R) (IR),IND,4,0,1
WR,Michael Pittman Jr.,IND,1,1,0
WR,Josh Downs (R),IND,2,1,1
WR,Alec Pierce,IND,3,1,0
WR,Isaiah McKenzie (N),IND,4,1,0
TE,Mo Alie-Cox,IND,1,1,0
TE,Kylen Granson,IND,2,1,0
TE,Will Mallory (R),IND,3,1,1
TE,Jelani Woods (IR),IND,4,0,0
K,Matt Gay (N),IND,1,1,0
,,,,,
QB,Trevor Lawrence,JAC,1,1,0
QB,C.J. Beathard,JAC,2,1,0
RB,Travis Etienne,JAC,1,1,0
RB,Tank Bigsby (R),JAC,2,1,1
RB,D'Ernest Johnson (N),JAC,3,1,0
RB,JaMycal Hasty,JAC,4,1,0
WR,Calvin Ridley,JAC,1,1,0
WR,Christian Kirk,JAC,2,1,0
WR,Zay Jones,JAC,3,1,0
WR,Jamal Agnew,JAC,4,1,0
WR,Tim X. Jones,JAC,5,1,0
WR,Parker Washington (R),JAC,6,1,1
TE,Evan Engram,JAC,1,1,0
TE,Brenton Strange (R),JAC,2,1,1
TE,Luke Farrell,JAC,3,1,0
K,Brandon McManus (N),JAC,1,1,0
,,,,,
QB,Patrick Mahomes,KC,1,1,0
QB,Blaine Gabbert,KC,2,1,0
RB,Isiah Pacheco,KC,1,1,0
RB,Clyde Edwards-Helaire,KC,2,1,0
RB,Jerick McKinnon,KC,3,1,0
WR,Rashee Rice (R),KC,1,1,1
WR,Kadarius Toney,KC,2,1,0
WR,Mecole Hardman (N),KC,3,1,0
WR,Justin Watson,KC,4,1,0
WR,Skyy Moore,KC,5,1,0
WR,Marquez Valdes-Scantling,KC,6,1,0
WR,Justyn Ross,KC,7,1,0
WR,Richie James (N),KC,8,1,0
TE,Travis Kelce,KC,1,1,0
TE,Noah Gray,KC,2,1,0
TE,Blake Bell,KC,3,1,0
K,Harrison Butker,KC,1,1,0
,,,,,
QB,Jimmy Garoppolo (N),LVR,1,1,0
QB,Brian Hoyer (N),LVR,2,1,0
QB,Aidan O'Connell,LVR,3,1,0
RB,Josh Jacobs,LVR,1,1,0
RB,Zamir White,LVR,2,1,0
RB,Ameer Abdullah,LVR,3,1,0
RB,Brandon Bolden,LVR,4,1,0
WR,Davante Adams,LVR,1,1,0
WR,Jakobi Meyers (N),LVR,2,1,0
WR,Hunter Renfrow,LVR,3,1,0
WR,Tre Tucker (R),LVR,4,1,1
WR,DeAndre Carter (N),LVR,5,1,0
WR,Keelan Cole,LVR,6,1,0
TE,Austin Hooper (N),LVR,1,1,0
TE,Michael Mayer (R),LVR,2,1,0
K,Daniel Carlson,LVR,1,1,1
,,,,,
QB,Justin Herbert,LAC,1,1,0
QB,Easton Stick,LAC,2,1,0
QB,Max Duggan (R),LAC,3,1,1
RB,Austin Ekeler,LAC,1,1,0
RB,Joshua Kelley,LAC,2,1,0
RB,Isaiah Spiller,LAC,3,1,0
RB,Elijah Dotson,LAC,4,1,0
WR,Keenan Allen,LAC,1,1,0
WR,Joshua Palmer,LAC,2,1,0
WR,Quentin Johnston (R),LAC,3,1,1
WR,Derius Davis (R),LAC,4,1,1
WR,Mike Williams,LAC,5,1,0
TE,Donald Parham (N),LAC,1,1,0
TE,Gerald Everett,LAC,2,1,0
TE,Stone Smartt,LAC,3,1,0
TE,Tre' McKitty,LAC,4,1,0
K,Cameron Dicker,LAC,1,1,0
,,,,,
QB,Matthew Stafford,LAR,1,1,0
QB,Stetson Bennett (R),LAR,2,1,1
QB,Brett Rypien (N),LAR,3,1,0
RB,Zach Evans (R),LAR,1,1,1
RB,Royce Freeman (N),LAR,2,1,0
RB,Ronnie Rivers,LAR,3,1,0
RB,Darrell Henderson (N),LAR,4,1,0
RB,Kyren Williams (IR),LAR,,0,0
WR,Cooper Kupp,LAR,1,1,0
WR,Puka Nacua (R),LAR,2,1,1
WR,Tutu Atwell,LAR,3,1,0
WR,Ben Skowronek,LAR,4,1,0
WR,Demarcus Robinson (N),LAR,5,1,0
TE,Tyler Higbee,LAR,1,1,0
TE,Brycen Hopkins,LAR,2,1,0
TE,Davis Allen (R),LAR,3,1,1
TE,Hunter Long (N),LAR,4,1,0
K,Brett Maher (N),LAR,1,1,0
,,,,,
QB,Tua Tagovailoa,MIA,1,1,0
QB,Mike White (N),MIA,2,1,0
QB,Skylar Thompson,MIA,3,1,0
RB,Raheem Mostert,MIA,1,1,0
RB,Salvon Ahmed,MIA,2,1,0
RB,Jeff Wilson Jr. (IR),MIA,,0,0
RB,De'Von Achane (R) (IR),MIA,,0,1
WR,Tyreek Hill,MIA,1,1,0
WR,Jaylen Waddle,MIA,2,1,0
WR,Braxton Berrios (N),MIA,3,1,0
WR,Chase Claypool (N),MIA,4,1,0
WR,Cedrick Wilson,MIA,5,1,0
WR,Erik Ezukanma,MIA,6,1,0
WR,River Cracraft (IR),MIA,,0,0
TE,Durham Smythe (N),MIA,1,1,0
K,Jason Sanders,MIA,1,1,0
,,,,,
QB,Kirk Cousins,MIN,1,1,0
QB,Nick Mullens,MIN,2,1,0
QB,Jaren Hall (R),MIN,3,1,1
RB,Alexander Mattison,MIN,1,1,0
RB,Cam Akers (N),MIN,2,1,0
RB,Ty Chandler,MIN,3,1,0
RB,C.J. Ham,MIN,4,1,0
RB,Kene Nwangwu (IR),MIN,,0,0
WR,Justin Jefferson (IR),MIN,,0,0
WR,Jordan Addison (R),MIN,1,1,1
WR,K.J. Osborn,MIN,2,1,0
WR,Brandon Powell (N),MIN,3,1,0
WR,Jalen Nailor (IR),MIN,,0,0
TE,T.J. Hockenson,MIN,1,1,0
TE,Josh Oliver,MIN,2,1,0
TE,Johnny Mundt,MIN,3,1,0
K,Greg Joseph,MIN,1,1,0
,,,,,
QB,Mac Jones,NE,1,1,0
QB,Bailey Zappe,NE,2,1,0
QB,Will Grier,NE,3,1,0
RB,Rhamondre Stevenson,NE,1,1,0
RB,Ezekiel Elliott (N),NE,2,1,0
RB,Ty Montgomery,NE,3,1,0
WR,Kendrick Bourne,NE,1,1,0
WR,DeVante Parker,NE,2,1,0
WR,JuJu Smith-Schuster (N),NE,3,1,0
WR,Tyquan Thornton,NE,4,1,0
WR,Demario Douglas (R),NE,5,1,1
WR,Kayshon Boutte (R),NE,6,1,1
WR,Matthew Slater,NE,7,1,0
WR,Malik Cunningham,NE,8,1,0
TE,Hunter Henry,NE,1,1,0
TE,Mike Gesicki (N),NE,2,1,0
K,Chad Ryland (R),NE,1,1,1
,,,,,
QB,Derek Carr (N),NO,1,1,0
QB,Jameis Winston,NO,2,1,0
QB,Jake Haener (R),NO,3,1,1
RB,Alvin Kamara,NO,1,1,0
RB,Kendre Miller (R),NO,2,1,1
RB,Jamaal Williams (N) (IR),NO,,0,0
RB,Eno Benjamin (IR),NO,,0,0
WR,Chris Olave,NO,1,1,0
WR,Michael Thomas,NO,2,1,0
WR,Rashid Shaheed,NO,3,1,0
WR,A.T. Perry (R),NO,4,1,1
WR,Keith Kirkwood,NO,5,1,0
TE,Juwan Johnson,NO,1,1,0
TE,Taysom Hill,NO,2,1,0
TE,Foster Moreau (N),NO,3,1,0
TE,Jimmy Graham (N),NO,4,1,0
K,Blake Grupe (N),NO,1,1,0
,,,,,
QB,Daniel Jones,NYG,1,1,0
QB,Tyrod Taylor,NYG,2,1,0
RB,Saquon Barkley,NYG,1,1,0
RB,Matt Breida,NYG,2,1,0
RB,Eric Gray (R),NYG,3,1,1
RB,Gary Brightwell,NYG,4,1,0
WR,Darius Slayton,NYG,1,1,0
WR,Isaiah Hodgins,NYG,2,1,0
WR,Jalin Hyatt (R),NYG,3,1,1
WR,Sterling Shepard,NYG,4,1,0
WR,Bryce Ford-Wheaton (R),NYG,5,1,1
TE,Darren Waller (N),NYG,1,1,0
TE,Tommy Sweeney (N),NYG,2,1,0
K,Graham Gano,NYG,1,1,0
,,,,,
QB,Zach Wilson,NYJ,1,1,0
QB,Tim Boyle,NYJ,2,1,0
QB,Aaron Rodgers (N) (IR),NYJ,3,1,0
RB,Breece Hall,NYJ,1,1,0
RB,Dalvin Cook (N),NYJ,2,1,0
RB,Michael Carter,NYJ,3,1,0
RB,Israel Abanikanda (R),NYJ,4,1,1
WR,Garrett Wilson,NYJ,1,1,0
WR,Allen Lazard (N),NYJ,2,1,0
WR,Randall Cobb (N),NYJ,3,1,0
WR,Xavier Gipson,NYJ,4,1,0
TE,Tyler Conklin,NYJ,1,1,0
TE,C.J. Uzomah,NYJ,2,1,0
TE,Kenny Yeboah,NYJ,3,1,0
K,Greg Zuerlein,NYJ,1,1,0
,,,,,
QB,Jalen Hurts,PHI,1,1,0
QB,Marcus Mariota (N),PHI,2,1,0
QB,Tanner McKee (R),PHI,3,1,1
RB,D'Andre Swift (N),PHI,1,1,0
RB,Kenneth Gainwell,PHI,2,1,0
RB,Boston Scott,PHI,3,1,0
WR,A.J. Brown,PHI,1,1,0
WR,DeVonta Smith,PHI,2,1,0
WR,Olamide Zaccheaus (N),PHI,3,1,0
WR,Quez Watkins (IR),PHI,,0,0
TE,Dallas Goedert,PHI,1,1,0
TE,Jack Stoll,PHI,2,1,0
TE,Albert Okwuegbunam (N),PHI,3,1,0
K,Jake Elliott,PHI,1,1,0
,,,,,
QB,Kenny Pickett,PIT,1,1,0
QB,Mitchell Trubisky,PIT,2,1,0
RB,Najee Harris,PIT,1,1,0
RB,Jaylen Warren,PIT,2,1,0
RB,Anthony McFarland,PIT,3,1,0
WR,George Pickens,PIT,1,1,0
WR,Diontae Johnson,PIT,2,1,0
WR,Allen Robinson (N),PIT,3,1,0
TE,Darnell Washington (R),PIT,1,1,1
TE,Pat Freiermuth (IR),PIT,,0,0
K,Chris Boswell,PIT,1,1,0
,,,,,
QB,Geno Smith,SEA,1,1,0
QB,Drew Lock,SEA,2,1,0
RB,Kenneth Walker III,SEA,1,1,0
RB,Zach Charbonnet (R),SEA,2,1,1
RB,DeeJay Dallas,SEA,3,1,0
RB,Kenny McIntosh (R),SEA,4,1,1
RB,Chris Z. Smith (R),SEA,5,1,1
WR,DK Metcalf,SEA,1,1,0
WR,Tyler Lockett,SEA,2,1,0
WR,Jaxon Smith-Njigba (R),SEA,3,1,1
WR,Jake Bobo (R),SEA,4,1,0
WR,Dee Eskridge,SEA,5,1,1
WR,Dareke Young,SEA,6,1,0
WR,Cody Thompson,SEA,7,1,0
TE,Noah Fant,SEA,1,1,0
TE,Colby Parkinson,SEA,2,1,0
TE,Will Dissly,SEA,3,1,0
K,Jason Myers,SEA,1,1,0
,,,,,
QB,Brock Purdy,SF,1,1,0
QB,Sam Darnold (N),SF,2,1,0
